Type,Name,Description,Generic Evidence
MOTIVE,Financial Gain / Greed,"Motives related to money or financial benefit, such as life insurance claims, inheritance, debt relief, or even eliminating a financial competitor.

Motivated by money or material wealth, the murderer might be after an inheritance, life insurance payout, or other financial benefits, often linked to disputes over property or assets.","Life Insurance  (https://www.notion.so/Life-Insurance-1884a3377199807d9842cd096212f358?pvs=21), Last Will (https://www.notion.so/Last-Will-1884a3377199805e9614f31e5361bd6d?pvs=21), Divorce Papers (https://www.notion.so/Divorce-Papers-1884a337719980d1ba8ae6bb55f22646?pvs=21), Credit Card Debt Statement (https://www.notion.so/Credit-Card-Debt-Statement-1884a3377199802daf9ee4551dfdc1fe?pvs=21), Foreclosure Document (https://www.notion.so/Foreclosure-Document-1884a337719980399080e8faf0faf84c?pvs=21), Finger Print (https://www.notion.so/Finger-Print-1974a337719980fe981de8c0db08e874?pvs=21), Tools for Altering Documents or Records (https://www.notion.so/Tools-for-Altering-Documents-or-Records-19f4a33771998014af17e26fe1f2be85?pvs=21), Shoe /Tire / Car Print (https://www.notion.so/Shoe-Tire-Car-Print-1a14a337719980a2a7fcfd7e58446bfc?pvs=21), Letter/Post It (https://www.notion.so/Letter-Post-It-1a64a3377199806d9f2fea17b5170d5f?pvs=21), Found (Victim) Fall (https://www.notion.so/Found-Victim-Fall-1a54a33771998012a046ee3aa98a8fe2?pvs=21), Overdue Bills - Collection Agency (https://www.notion.so/Overdue-Bills-Collection-Agency-1a54a337719980c38134c2c115904375?pvs=21), Bank Statements / Financial Records (https://www.notion.so/Bank-Statements-Financial-Records-1a74a33771998052a068c7f2a95a6a91?pvs=21), Phone/Text/Email Records (https://www.notion.so/Phone-Text-Email-Records-1a54a3377199808795bbdcdd9a9e00fb?pvs=21), Social Media  (https://www.notion.so/Social-Media-1a54a33771998049b81dcdab0843e397?pvs=21)"
MOTIVE,Revenge,"Acts driven by a desire to retaliate or avenge perceived wrongs, betrayals, or grievances. This can stem from personal vendettas, professional rivalries, or emotional slights.

The killer acts out of a desire for retribution, aiming to settle old scores or repay perceived wrongs and betrayals.","Divorce Papers (https://www.notion.so/Divorce-Papers-1884a337719980d1ba8ae6bb55f22646?pvs=21), Letter/Post It (https://www.notion.so/Letter-Post-It-1a64a3377199806d9f2fea17b5170d5f?pvs=21), Found (Victim) Fall (https://www.notion.so/Found-Victim-Fall-1a54a33771998012a046ee3aa98a8fe2?pvs=21)"
MOTIVE,Jealousy / Envy / Passion,"Often linked to romantic or personal relationships, jealousy can provoke intense emotions leading to violent outcomes. Love triangles, infidelity, or perceived threats to a relationship often fuel this motive.

Driven by personal jealousy or envy, the murderer targets someone perceived as a rival in love, success, or social status.","Divorce Papers (https://www.notion.so/Divorce-Papers-1884a337719980d1ba8ae6bb55f22646?pvs=21), Letter/Post It (https://www.notion.so/Letter-Post-It-1a64a3377199806d9f2fea17b5170d5f?pvs=21), Found (Victim) Fall (https://www.notion.so/Found-Victim-Fall-1a54a33771998012a046ee3aa98a8fe2?pvs=21), Social Media  (https://www.notion.so/Social-Media-1a54a33771998049b81dcdab0843e397?pvs=21), Phone/Text/Email Records (https://www.notion.so/Phone-Text-Email-Records-1a54a3377199808795bbdcdd9a9e00fb?pvs=21)"
MOTIVE,Passion / Anger / Crime of Opportunity,"An emotionally charged, impulsive act—often stemming from anger, lust, or a heated argument—leads to a spontaneous crime of passion.","Found (Victim) Fall (https://www.notion.so/Found-Victim-Fall-1a54a33771998012a046ee3aa98a8fe2?pvs=21), Overdue Bills - Collection Agency (https://www.notion.so/Overdue-Bills-Collection-Agency-1a54a337719980c38134c2c115904375?pvs=21), Bank Statements / Financial Records (https://www.notion.so/Bank-Statements-Financial-Records-1a74a33771998052a068c7f2a95a6a91?pvs=21), Phone/Text/Email Records (https://www.notion.so/Phone-Text-Email-Records-1a54a3377199808795bbdcdd9a9e00fb?pvs=21), Social Media  (https://www.notion.so/Social-Media-1a54a33771998049b81dcdab0843e397?pvs=21)"
MOTIVE,Power / Control,"This includes motives where the perpetrator wants to exert dominance, feel in control, or remove obstacles to their authority. It may apply in both personal and professional settings, such as eliminating a rival for a promotion or enforcing gang dominance.

The crime is committed as a means to assert dominance or control over others, sometimes tied to organized crime, political ambitions, or personal superiority.","Tools for Altering Documents or Records (https://www.notion.so/Tools-for-Altering-Documents-or-Records-19f4a33771998014af17e26fe1f2be85?pvs=21), Life Insurance  (https://www.notion.so/Life-Insurance-1884a3377199807d9842cd096212f358?pvs=21), Letter/Post It (https://www.notion.so/Letter-Post-It-1a64a3377199806d9f2fea17b5170d5f?pvs=21), Found (Victim) Fall (https://www.notion.so/Found-Victim-Fall-1a54a33771998012a046ee3aa98a8fe2?pvs=21), Bank Statements / Financial Records (https://www.notion.so/Bank-Statements-Financial-Records-1a74a33771998052a068c7f2a95a6a91?pvs=21), Overdue Bills - Collection Agency (https://www.notion.so/Overdue-Bills-Collection-Agency-1a54a337719980c38134c2c115904375?pvs=21), Phone/Text/Email Records (https://www.notion.so/Phone-Text-Email-Records-1a54a3377199808795bbdcdd9a9e00fb?pvs=21), Social Media  (https://www.notion.so/Social-Media-1a54a33771998049b81dcdab0843e397?pvs=21)"
MOTIVE,Fear / Self Preservation,"When someone believes their life, freedom, or reputation is at risk, they might act to protect themselves. This includes silencing a witness, preventing exposure of a secret, or acting in response to perceived threats.",Found (Victim) Fall (https://www.notion.so/Found-Victim-Fall-1a54a33771998012a046ee3aa98a8fe2?pvs=21)
MOTIVE,Mental Illness / Psychopathy,"Some murders are driven by psychological issues, including those related to compulsive violence, thrill-seeking, or a lack of empathy. In some cases, these motives are irrational or detached from typical human motivations.

In some cases, psychological issues or a state of mental imbalance drive the killer to commit murder without a clear, rational motive, resulting in erratic or senseless violence.","Letter/Post It (https://www.notion.so/Letter-Post-It-1a64a3377199806d9f2fea17b5170d5f?pvs=21), Found (Victim) Fall (https://www.notion.so/Found-Victim-Fall-1a54a33771998012a046ee3aa98a8fe2?pvs=21)"
MOTIVE,Ideology / Extreme Belief,"Some individuals commit murder in the name of political, religious, or other ideological beliefs. This can include hate crimes, terrorism, or any action believed to serve a ""higher purpose"" in the mind of the perpetrator.

Killing to further a political, religious, or social agenda","Letter/Post It (https://www.notion.so/Letter-Post-It-1a64a3377199806d9f2fea17b5170d5f?pvs=21), Found (Victim) Fall (https://www.notion.so/Found-Victim-Fall-1a54a33771998012a046ee3aa98a8fe2?pvs=21)"
MOTIVE,Cover-Up / Concealment,"The murderer aims to hide another crime or scandal (such as fraud, blackmail, or a secret affair) by eliminating a potential witness or an inconvenient individual.","Bank Statements / Financial Records (https://www.notion.so/Bank-Statements-Financial-Records-1a74a33771998052a068c7f2a95a6a91?pvs=21), Overdue Bills - Collection Agency (https://www.notion.so/Overdue-Bills-Collection-Agency-1a54a337719980c38134c2c115904375?pvs=21), Phone/Text/Email Records (https://www.notion.so/Phone-Text-Email-Records-1a54a3377199808795bbdcdd9a9e00fb?pvs=21), Social Media  (https://www.notion.so/Social-Media-1a54a33771998049b81dcdab0843e397?pvs=21)"
MOTIVE,Mercy Killing,"Ending someone's life out of a misguided sense of compassion, often in cases of severe illness or suffering",
MOTIVE,Mistaken Identity,Killing the wrong person while intending to target someone else,
MOTIVE,Cult or Group Influence,Murder committed under the influence of a charismatic leader or as part of a group's rituals,
MOTIVE,Thrill-Seeking,Committing murder for the excitement or to alleviate boredom,Found (Victim) Fall (https://www.notion.so/Found-Victim-Fall-1a54a33771998012a046ee3aa98a8fe2?pvs=21)
MEANS,Weapon - Firearms,"Quick and effective, commonly used in premeditated or impulsive acts.

The murder is carried out with a firearm. Investigators piece together bullet trajectories, recover spent casings with fingerprints, and trace the weapon’s origin through ballistic analysis.","Autopsy Report (https://www.notion.so/Autopsy-Report-1884a33771998051802edb0383801058?pvs=21), Found Murder Weapon - Firearm/Projectile (https://www.notion.so/Found-Murder-Weapon-Firearm-Projectile-1884a337719980729ff6fe8ef6acd691?pvs=21), Medical Records  (https://www.notion.so/Medical-Records-1a54a33771998074a6d8cf9200db1aa5?pvs=21), Weapon - Arrow - Spear (https://www.notion.so/Weapon-Arrow-Spear-1a84a337719980419e8dcdfb09aa6079?pvs=21)"
